name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2010-12-26,2.3,-4.2,-0.9,1.5,-6.6,-2.1,-4,79.7,0,0,0,,0.3,1.5,,10.5,208.7,1027.8,45.9,18.5,44.8,3.9,2,,2010-12-26T08:05:46,2010-12-26T15:56:23,0.68,Partially cloudy,Becoming cloudy in the afternoon.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-27,4.5,2.3,3.8,1.1,-0.8,0.3,-0.2,75.5,0.001,100,4.17,rain,0,0.5,,20.6,166.1,1017.1,84.6,24.7,18.1,1.4,1,,2010-12-27T08:05:59,2010-12-27T15:57:10,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-28,7.5,2.6,5.1,7.1,-0.9,3.1,4.5,96.5,2.808,100,12.5,rain,0,0,,13.7,138.2,1014,88.3,4.2,9.7,0.8,1,,2010-12-28T08:06:10,2010-12-28T15:57:59,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-29,9.1,7,7.9,9.1,6.1,7.4,7.8,98.9,0.002,100,8.33,rain,0,0,,7.6,113.1,1019.6,83.9,2.5,13.5,1.1,1,,2010-12-29T08:06:17,2010-12-29T15:58:52,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-30,7.6,5.6,6.5,7,3.1,5.1,5.9,95.8,0.505,100,8.33,rain,0,0,,11.5,77.2,1024.4,83,5.7,29.1,2.5,2,,2010-12-30T08:06:20,2010-12-30T15:59:47,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-31,7.6,5.3,6.6,7.6,2.6,6.1,4,83.7,0.298,100,4.17,rain,0,0,,14.6,27.6,1026.4,92,9.8,24.9,2.2,1,,2010-12-31T08:06:20,2010-12-31T16:00:45,0.86,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-01,7.3,4.6,6,5.7,2.1,4.1,3.5,84,0.004,100,4.17,rain,0,0,,12.9,329.7,1024.9,68.7,11.5,18.6,1.6,1,,2011-01-01T08:06:17,2011-01-01T16:01:46,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-02,4.3,2.8,3.5,4.1,0.3,1.6,-0.3,76.4,0.497,100,4.17,rain,0,0,,10.2,347.6,1028.2,88.3,22.9,46.1,4,2,,2011-01-02T08:06:11,2011-01-02T16:02:50,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-03,4.1,0.3,2.6,4.1,0.3,1.6,-1.8,72.8,0,0,0,,0,0,,7.8,201.4,1024.6,84.4,15.8,42.4,3.7,2,,2011-01-03T08:06:01,2011-01-03T16:03:57,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-04,4.8,1.8,3.8,3.3,0.3,1.8,1.4,84.4,0.002,100,8.33,rain,0,0,,17.5,209.9,1013.7,64.1,12,20.2,1.8,1,,2011-01-04T08:05:48,2011-01-04T16:05:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-05,7.3,4.5,6,6.4,0.3,2.6,3.5,84.4,0.003,100,8.33,rain,0,0,51.2,31.1,195.2,1000.6,67.4,17.4,28.4,2.4,1,,2011-01-05T08:05:31,2011-01-05T16:06:17,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-06,7.1,2.8,4.7,6.6,0.7,3.6,3.7,93.2,13.491,100,16.67,rain,0,0,,12.3,334.7,995.6,66.9,7.7,6.9,0.6,0,,2011-01-06T08:05:11,2011-01-06T16:07:31,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-07,10.5,2.3,6.5,10.5,-0.4,5.1,5.9,96.1,6.914,100,12.5,rain,0,0,,21.8,156.2,999.3,69.2,9,34.2,3,2,,2011-01-07T08:04:48,2011-01-07T16:08:48,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-08,10.6,3.3,7.7,10.6,0.1,5.6,4.7,81.7,6.593,100,12.5,rain,0,0,,35.1,222.1,997,49.6,26.3,27.7,2.4,2,,2011-01-08T08:04:22,2011-01-08T16:10:06,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-09,6.6,1.6,3.7,3.7,-1.5,0.7,0.3,79.4,0,0,0,,0,0,,18.5,237.7,1011.7,30.8,29.7,55.3,4.8,3,,2011-01-09T08:03:52,2011-01-09T16:11:27,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-10,8.5,0.5,5.3,4.9,-1.7,2.3,3.2,86.4,0.298,100,4.17,rain,0,0,44.6,28.4,173.3,1012.5,72,18.9,47.8,4,3,,2011-01-10T08:03:19,2011-01-10T16:12:50,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-11,8.1,4.1,5.9,4.4,1.4,3.1,3.5,84.9,7.916,100,8.33,rain,0,0,44.6,26.7,276,1005.9,75.5,22.2,27.5,2.4,1,,2011-01-11T08:02:43,2011-01-11T16:14:15,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-12,12.3,4.6,9.3,12.3,1.2,8,8.2,92.9,7.083,100,8.33,rain,0,0,,24.7,215.8,1011.3,92.7,15.5,18.4,1.6,1,,2011-01-12T08:02:04,2011-01-12T16:15:42,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-13,13.3,11.5,12.3,13.3,11.5,12.3,11.1,92.7,1.298,100,8.33,rain,0,0,44.6,27.8,226.5,1009.9,96.6,19.1,30,2.7,2,,2011-01-13T08:01:22,2011-01-13T16:17:11,0.29,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-14,12.1,8.5,10.8,12.1,5.6,10,9.2,89.5,7.097,100,16.67,rain,0,0,,28.4,224.5,1010,75.5,21.6,22,1.9,1,,2011-01-14T08:00:37,2011-01-14T16:18:42,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-15,11.6,8.1,10.5,11.6,5.7,10,7.4,81.1,0.001,100,4.17,rain,0,0,57.6,35.4,216.2,1015.6,85.8,18.3,17.8,1.6,1,,2011-01-15T07:59:49,2011-01-15T16:20:14,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-16,12.6,10.3,11.3,12.6,10.3,11.3,8.7,84.3,0.001,100,4.17,rain,0,0,,33.9,210.3,1016.7,82.5,18.1,48.8,4.2,3,,2011-01-16T07:58:58,2011-01-16T16:21:48,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-17,9.8,6.3,8,9.1,4.6,6.8,6.7,91.8,15.495,100,12.5,rain,0,0,,17.7,48.6,1019,69.9,19,11.5,1,1,,2011-01-17T07:58:04,2011-01-17T16:23:23,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-18,7.6,3.6,5.7,5.2,1.5,3.3,3.3,85,14.977,100,12.5,rain,0,0,,16.8,332.9,1027.2,33.9,18.7,45.3,3.9,3,,2011-01-18T07:57:08,2011-01-18T16:25:00,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-19,7.3,0.6,3.9,5.8,-1.9,1.9,2,87.9,0.001,100,4.17,"rain,snow",0,0,,11.3,296,1034.8,53,9.1,28.2,2.4,1,,2011-01-19T07:56:08,2011-01-19T16:26:38,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-20,5.8,4.3,5.1,4.4,1.9,3,2.5,83.4,0.301,100,8.33,rain,0,0,,11.9,351.8,1036.1,62.5,11.5,36.4,3.2,2,,2011-01-20T07:55:06,2011-01-20T16:28:17,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-21,5.1,1.5,3.1,2.8,-2.3,0.6,-0.1,79.8,0.001,100,4.17,rain,0,0,,14.5,347.9,1038.9,48.5,9.4,48.3,4.2,2,,2011-01-21T07:54:01,2011-01-21T16:29:57,0.56,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-22,7.3,1.6,4.8,3.9,-0.8,1.9,2.5,85.4,0.003,100,8.33,rain,0,0,,24.7,7.8,1037.1,80.5,11.5,25.7,2.2,1,,2011-01-22T07:52:54,2011-01-22T16:31:39,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-23,8,6.3,7.1,5.5,2.7,4,5,86.7,0.299,100,4.17,rain,0,0,,20.7,13.9,1034,76.1,19.5,26.1,2.2,1,,2011-01-23T07:51:44,2011-01-23T16:33:22,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-24,7.5,3.8,6.5,5.5,1.2,4,3.7,82.6,0.303,100,12.5,rain,0,0,,18.1,335.8,1030.8,57.7,18.8,62.4,5.5,3,,2011-01-24T07:50:31,2011-01-24T16:35:05,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-25,8.5,3.5,6.6,6.3,1.1,4.1,5,89.6,0.002,100,8.33,rain,0,0,,16.7,273.1,1017.5,76.9,18.3,19.9,1.7,1,,2011-01-25T07:49:16,2011-01-25T16:36:50,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-26,7.6,3,6.2,6.8,-1.4,3.5,4.2,86.9,0.504,100,12.5,rain,0,0,,24.2,30.9,1010.5,72,17.1,33.9,2.9,2,,2011-01-26T07:47:59,2011-01-26T16:38:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-27,3.6,1.8,2.7,-0.1,-2.8,-1.6,-3,66.5,0.498,100,4.17,rain,0,0,,22.6,46.6,1020.9,83.2,39,54.6,4.6,3,,2011-01-27T07:46:39,2011-01-27T16:40:21,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-28,2.1,0.6,1.5,-1.8,-3.8,-3,-4.4,65.3,0,0,0,,0,0,,24,55.6,1023.2,90.8,35.3,79.3,6.9,3,,2011-01-28T07:45:17,2011-01-28T16:42:07,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-29,2.1,1.3,1.7,-1.3,-3.1,-2.3,-2.6,73,0.298,100,4.17,"rain,snow",0,0,,19.6,36.5,1022.5,96.7,13.6,50.2,4.3,2,,2011-01-29T07:43:53,2011-01-29T16:43:55,0.84,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-30,5.1,1,2.8,2.6,-2.5,-0.1,-1.5,73.9,0,0,0,,0,0,,19.1,41.9,1023.2,71.5,27,79.9,6.8,4,,2011-01-30T07:42:26,2011-01-30T16:45:42,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-01-31,4.6,-0.7,2.4,4.6,-4.8,1,-1.9,73.8,0,0,0,,0,0,,13.2,273.6,1025.7,55.6,15.3,71.8,6.3,3,,2011-01-31T07:40:58,2011-01-31T16:47:30,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-01,7.3,-1.9,3.7,5.6,-6.3,0.9,2,88.9,0,0,0,,0,0,,16.2,232.4,1026,73.2,7.7,18,1.5,1,,2011-02-01T07:39:27,2011-02-01T16:49:19,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-02,10.3,2.6,6.7,10.3,-0.3,4.3,5.5,92.6,0.498,100,4.17,rain,0,0,44.6,25.1,219.2,1024.9,84.8,9.9,23,1.9,1,,2011-02-02T07:37:55,2011-02-02T16:51:08,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-03,10.1,4.3,7.7,10.1,1.7,4.9,4.1,79.2,0.001,100,4.17,rain,0,0,,34.3,231.2,1023.3,66.9,21.6,60.1,5.2,3,,2011-02-03T07:36:20,2011-02-03T16:52:57,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-04,12.3,9.8,11.1,12.3,6.1,11,7.4,78.2,0,0,0,,0,0,57.6,38,231.7,1016.6,90.7,19,28.6,2.4,1,,2011-02-04T07:34:43,2011-02-04T16:54:47,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-05,13.1,11.3,12.1,13.1,11.3,12.1,8.3,77.5,0.001,100,4.17,rain,0,0,57.6,37.4,230.6,1017.8,88.3,22.4,24.7,2.2,1,,2011-02-05T07:33:05,2011-02-05T16:56:37,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-06,11.6,10.3,10.9,11.6,10.3,10.9,7.4,78.8,0.001,100,4.17,rain,0,0,57.6,36,223.8,1020.2,87.5,28.9,45.3,3.9,2,,2011-02-06T07:31:25,2011-02-06T16:58:26,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-07,11.8,6.1,9.3,11.8,3.3,7.2,5.2,75.5,0,0,0,,0,0,57.6,38.4,225.9,1015.3,88.2,26.1,22.1,1.9,1,,2011-02-07T07:29:43,2011-02-07T17:00:16,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-08,10.3,1.8,5.8,10.3,0.1,4.7,2,78.9,0,0,0,,0,0,,13.9,183.1,1022.2,39.7,20.9,96.6,8.5,4,,2011-02-08T07:27:59,2011-02-08T17:02:07,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-09,11.1,5.7,8.4,11.1,3.4,6.3,5.7,83.4,0.002,100,4.17,rain,0,0,,17.2,173.7,1017.8,77,11.1,55.8,4.8,3,,2011-02-09T07:26:14,2011-02-09T17:03:57,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-10,10.8,7.8,9.6,10.8,5.1,8.1,8.6,93.5,9.895,100,8.33,rain,0,0,,16.6,200.1,1012.8,83.1,7.4,13.2,1.2,1,,2011-02-10T07:24:27,2011-02-10T17:05:47,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-02-11,13.3,8.1,10.4,13.3,6.5,9.6,9,91.1,0.503,100,8.33,rain,0,0,,18,213.2,1011.1,73.2,12.7,30.1,2.7,1,,2011-02-11T07:22:39,2011-02-11T17:07:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
