Revenue,InvoiceDate
211.2,2010-12-02 12:58:00.000000000
824.88,2010-12-02 12:59:00.000000000
98.18,2010-12-02 13:06:00.000000000
201.75,2010-12-02 13:08:00.000000000
92.75,2010-12-02 13:08:00.000000000
202.12,2010-12-02 13:11:00.000000256
198.08,2010-12-02 13:14:00.000000000
261.76,2010-12-02 13:32:00.000000000
379.75,2010-12-02 13:36:00.000000000
341.9,2010-12-02 13:38:00.000000000
248.1,2010-12-02 13:39:00.000000000
100.2,2010-12-02 13:44:00.000000000
116.0,2010-12-02 13:45:00.000000000
353.19,2010-12-02 13:49:00.000000000
434.8,2010-12-02 14:04:00.000000000
22.200000000000003,2010-12-02 14:05:00.000000000
390.66,2010-12-02 14:06:00.000000000
22.200000000000003,2010-12-02 14:07:00.000000000
210.24,2010-12-02 14:09:00.000000000
54.25,2010-12-02 14:14:00.000000000
66.65,2010-12-02 14:23:00.000000000
311.25,2010-12-02 14:26:00.000000000
98.9,2010-12-02 14:30:00.000000000
307.68,2010-12-02 14:40:00.000000000
452.52,2010-12-02 14:42:00.000000000
0.0,2010-12-02 14:42:00.000000000
0.0,2010-12-02 14:43:00.000000000
668.4,2010-12-02 14:47:00.000000000
118.38,2010-12-02 14:49:00.000000000
138.1,2010-12-02 15:00:00.000000000
193.23,2010-12-02 15:03:00.000000000
15.0,2010-12-02 15:08:00.000000000
12.8,2010-12-02 15:09:00.000000000
50.400000000000006,2010-12-02 15:14:00.000000000
517.95,2010-12-02 15:18:00.000000000
4076.48,2010-12-02 15:19:00.000000000
2170.9,2010-12-02 15:20:00.000000000
2730.96,2010-12-02 15:22:00.000000000
324.0,2010-12-02 15:23:00.000000000
192.46,2010-12-02 15:24:00.000000000
75.0,2010-12-02 15:25:00.000000000
22.200000000000003,2010-12-02 15:25:00.000000000
532.01,2010-12-02 15:26:00.000000000
44.400000000000006,2010-12-02 15:27:00.000000000
30.0,2010-12-02 15:28:00.000000000
170.7,2010-12-02 15:39:00.000000000
322.8,2010-12-02 15:40:00.000000000
333.72,2010-12-02 15:40:00.000000000
375.65,2010-12-02 15:46:00.000000000
130.8,2010-12-02 15:49:00.000000000
717.1600000000001,2010-12-02 15:55:00.000000000
183.3,2010-12-02 16:00:00.000000000
236.97,2010-12-02 16:12:00.000000000
252.3,2010-12-02 16:12:00.000000000
197.3,2010-12-02 16:29:00.000000000
1714.25,2010-12-02 16:34:00.000000000
406.56,2010-12-02 16:38:00.000000000
45.12,2010-12-02 16:42:00.000000000
247.8,2010-12-02 16:46:00.000000000
1003.2,2010-12-02 16:48:00.000000000
303.96,2010-12-02 16:50:00.000000000
527.85,2010-12-02 16:51:00.000000000
189.8,2010-12-02 16:59:00.000000000
308.28000000000003,2010-12-02 17:12:00.000000000
143.45000000000002,2010-12-02 17:17:00.000000000
50.550000000000004,2010-12-02 17:22:00.000000000
408.0,2010-12-02 17:24:00.000000000
2002.4,2010-12-02 17:38:00.000000000
569.4,2010-12-02 17:40:00.000000000
164.8,2010-12-02 17:41:00.000000000
438.1,2010-12-02 17:48:00.000000000
35.400000000000006,2010-12-02 17:51:00.000000000
295.0,2010-12-02 18:06:00.000000000
263.3,2010-12-02 18:08:00.000000000
308.68,2010-12-02 18:15:00.000000000
37.2,2010-12-02 18:23:00.000000000
623.73,2010-12-02 18:25:00.000000000
393.42,2010-12-02 18:27:00.000000000
263.62,2010-12-02 18:45:00.000000000
34.9,2010-12-02 18:46:00.000000000
189.3,2010-12-02 18:49:00.000000000
127.55,2010-12-02 19:17:59.999999744
413.1,2010-12-02 19:59:00.000000000
215.57999999999998,2010-12-03 09:31:00.000000000
534.0,2010-12-03 09:39:00.000000000
397.5,2010-12-03 09:45:00.000000000
1368.4,2010-12-03 09:48:59.999999744
754.87,2010-12-03 10:26:00.000000000
128.03,2010-12-03 10:33:00.000000000
294.25,2010-12-03 10:43:00.000000000
254.39999999999998,2010-12-03 10:43:00.000000000
1334.13,2010-12-03 11:13:00.000000000
123.07,2010-12-03 11:19:00.000000000
636.6800000000001,2010-12-03 11:27:00.000000000
2396.96,2010-12-03 11:28:00.000000000
8.47,2010-12-03 11:28:00.000000000
232.26,2010-12-03 11:35:00.000000000
7257.08,2010-12-03 11:36:00.000000000
5.46,2010-12-03 11:41:00.000000000
39.75,2010-12-03 11:42:00.000000000
69.3,2010-12-03 12:01:00.000000000
1680.88,2010-12-03 12:05:00.000000000
0.0,2010-12-03 12:08:00.000000000
0.0,2010-12-03 12:08:00.000000000
187.51,2010-12-03 12:11:00.000000000
309.54,2010-12-03 12:24:00.000000000
841.94,2010-12-03 12:28:00.000000000
686.4,2010-12-03 12:29:00.000000000
425.0,2010-12-03 12:41:00.000000000
304.95000000000005,2010-12-03 12:43:00.000000256
791.7,2010-12-03 12:43:00.000000000
225.65,2010-12-03 12:48:00.000000000
534.0,2010-12-03 13:09:00.000000000
528.0,2010-12-03 13:10:00.000000000
1314.0,2010-12-03 13:12:00.000000000
230.25,2010-12-03 13:42:00.000000000
736.28,2010-12-03 13:43:00.000000000
149.8,2010-12-03 14:18:00.000000000
108.78,2010-12-03 14:18:00.000000000
591.47,2010-12-03 14:26:00.000000000
101.14,2010-12-03 14:26:00.000000000
10661.69,2010-12-03 14:27:00.000000000
339.54,2010-12-03 14:35:00.000000000
334.3,2010-12-03 14:40:00.000000000
124.14,2010-12-03 14:40:00.000000000
272.01,2010-12-03 14:54:00.000000000
254.39000000000001,2010-12-03 15:05:00.000000000
115.7,2010-12-03 15:10:00.000000000
26.4,2010-12-03 15:16:00.000000000
91.8,2010-12-03 15:16:00.000000000
110.35000000000001,2010-12-03 15:19:00.000000000
98.5,2010-12-03 15:25:00.000000000
0.0,2010-12-03 15:29:00.000000000
0.0,2010-12-03 15:30:00.000000000
0.0,2010-12-03 15:30:00.000000000
0.0,2010-12-03 15:30:00.000000000
0.0,2010-12-03 15:32:00.000000000
0.0,2010-12-03 15:32:00.000000000
0.0,2010-12-03 15:33:00.000000000
0.0,2010-12-03 15:33:00.000000000
0.0,2010-12-03 15:33:00.000000000
0.0,2010-12-03 15:34:00.000000000
0.0,2010-12-03 15:35:00.000000000
0.0,2010-12-03 15:36:00.000000000
0.0,2010-12-03 15:36:00.000000000
0.0,2010-12-03 15:37:00.000000000
0.0,2010-12-03 15:38:00.000000000
0.0,2010-12-03 15:38:00.000000000
0.0,2010-12-03 15:38:00.000000000
0.0,2010-12-03 15:39:00.000000000
0.0,2010-12-03 15:40:00.000000000
0.0,2010-12-03 15:40:00.000000000
0.0,2010-12-03 15:41:00.000000000
0.0,2010-12-03 15:41:00.000000000
0.0,2010-12-03 15:41:00.000000000
0.0,2010-12-03 15:42:00.000000000
0.0,2010-12-03 15:43:00.000000000
0.0,2010-12-03 15:43:00.000000000
0.0,2010-12-03 15:43:00.000000000
122.15,2010-12-03 16:02:00.000000000
76.83,2010-12-03 16:20:59.999999744
0.0,2010-12-03 16:36:00.000000000
0.0,2010-12-03 16:36:00.000000000
0.0,2010-12-03 16:37:00.000000000
246.3,2010-12-03 16:44:00.000000000
135.0,2010-12-03 16:45:00.000000000
0.0,2010-12-03 16:50:00.000000000
2355.1800000000003,2010-12-03 17:20:00.000000000
11.6,2010-12-03 17:21:00.000000000
135.32999999999998,2010-12-03 17:28:00.000000000
256.90000000000003,2010-12-05 10:03:00.000000000
535.75,2010-12-05 10:12:00.000000000
734.3999999999999,2010-12-05 10:27:00.000000000
155.64000000000001,2010-12-05 10:36:00.000000000
238.11,2010-12-05 10:45:00.000000000
431.45,2010-12-05 10:52:00.000000000
126.42999999999999,2010-12-05 10:54:00.000000000
277.45,2010-12-05 10:58:00.000000000
326.6,2010-12-05 11:02:00.000000000
5.9,2010-12-05 11:03:00.000000000
277.65000000000003,2010-12-05 11:04:00.000000000
555.84,2010-12-05 11:10:00.000000000
350.68,2010-12-05 11:12:00.000000000
552.24,2010-12-05 11:15:00.000000000
275.8,2010-12-05 11:38:00.000000000
152.05,2010-12-05 11:40:00.000000000
273.29,2010-12-05 11:44:59.999999744
274.67,2010-12-05 11:49:00.000000000
351.43,2010-12-05 11:51:00.000000000
127.98,2010-12-05 11:54:00.000000000
27.45,2010-12-05 11:57:00.000000000
179.64000000000001,2010-12-05 11:59:00.000000000
180.44,2010-12-05 12:08:00.000000000
204.0,2010-12-05 12:09:00.000000000
475.86,2010-12-05 12:13:00.000000000
408.0,2010-12-05 12:13:00.000000000
211.74,2010-12-05 12:15:00.000000000
301.12,2010-12-05 12:15:00.000000000
114.65,2010-12-05 12:23:00.000000000
547.1,2010-12-05 12:26:00.000000000
206.23000000000002,2010-12-05 12:29:00.000000000
163.49,2010-12-05 12:34:00.000000000
722.36,2010-12-05 12:35:00.000000000
273.76,2010-12-05 12:42:00.000000000
535.6,2010-12-05 12:43:00.000000000
273.3,2010-12-05 12:44:00.000000000
33.15,2010-12-05 12:47:00.000000000
70.42,2010-12-05 12:53:00.000000000
517.65,2010-12-05 12:57:00.000000000
41.45,2010-12-05 12:56:59.999999744
343.28000000000003,2010-12-05 13:00:00.000000000
623.75,2010-12-05 13:03:00.000000000
1021.45,2010-12-05 13:05:00.000000000
75.64,2010-12-05 13:05:00.000000000
251.25,2010-12-05 13:08:00.000000000
184.8,2010-12-05 13:10:00.000000000
292.95,2010-12-05 13:17:00.000000000
283.15,2010-12-05 13:18:00.000000000
384.71999999999997,2010-12-05 13:21:00.000000000
131.5,2010-12-05 13:26:00.000000000
806.28,2010-12-05 13:29:00.000000000
211.8,2010-12-05 13:42:00.000000000
460.6,2010-12-05 13:49:00.000000000
271.2,2010-12-05 13:53:00.000000000
650.64,2010-12-05 13:55:00.000000000
411.42,2010-12-05 13:55:00.000000000
156.74,2010-12-05 14:06:00.000000000
112.9,2010-12-05 14:17:00.000000000
269.7,2010-12-05 14:25:00.000000000
198.43,2010-12-05 14:45:00.000000000
165.86,2010-12-05 14:52:00.000000000
85.55000000000001,2010-12-05 15:02:00.000000000
188.77,2010-12-05 15:06:00.000000000
297.92,2010-12-05 15:12:00.000000000
192.68,2010-12-05 15:12:00.000000000
209.84,2010-12-05 15:15:00.000000000
355.75,2010-12-05 15:18:00.000000000
8.65,2010-12-05 15:26:00.000000000
1668.2,2010-12-05 15:35:00.000000000
358.55999999999995,2010-12-05 15:38:00.000000000
569.5,2010-12-05 15:40:00.000000000
167.2,2010-12-05 15:40:00.000000000
423.52,2010-12-05 15:47:00.000000000
3.35,2010-12-05 15:49:00.000000000
37.35,2010-12-05 15:54:00.000000000
133.48,2010-12-05 16:00:00.000000000
164.70000000000002,2010-12-05 16:10:00.000000000
1415.97,2010-12-05 16:24:00.000000000
496.48,2010-12-05 16:41:00.000000000
113.48,2010-12-06 08:34:00.000000000
922.4000000000001,2010-12-06 08:42:00.000000000
25.200000000000003,2010-12-06 08:43:00.000000000
17.4,2010-12-06 08:44:00.000000000
2.95,2010-12-06 09:20:00.000000000
308.8,2010-12-06 09:21:00.000000000
353.0,2010-12-06 09:37:00.000000000
2567.6400000000003,2010-12-06 09:45:00.000000000
375.69000000000005,2010-12-06 09:52:00.000000000
7335.45,2010-12-06 09:58:00.000000000
164.2,2010-12-06 10:03:00.000000256
210.19,2010-12-06 10:05:00.000000000
7660.4800000000005,2010-12-06 10:08:00.000000000
364.92,2010-12-06 10:18:00.000000000
412.22,2010-12-06 10:19:00.000000000
50.400000000000006,2010-12-06 10:19:00.000000000
300.66,2010-12-06 10:20:00.000000000
58.2,2010-12-06 10:24:00.000000000
223.68,2010-12-06 10:34:00.000000000
56.25,2010-12-06 10:36:00.000000000
33.0,2010-12-06 10:38:00.000000000
26.349999999999998,2010-12-06 10:46:00.000000000
351.47,2010-12-06 10:53:00.000000000
382.69,2010-12-06 11:01:00.000000000
303.5,2010-12-06 11:03:00.000000000
2263.8,2010-12-06 11:06:00.000000000
142.5,2010-12-06 11:10:00.000000000
142.25,2010-12-06 11:16:00.000000000
611.51,2010-12-06 11:26:00.000000000
270.72,2010-12-06 11:26:00.000000000
153.5,2010-12-06 11:37:00.000000000
102.66,2010-12-06 11:38:00.000000000
311.24,2010-12-06 11:42:00.000000000
123.15,2010-12-06 11:42:00.000000000
322.8,2010-12-06 11:58:00.000000000
430.73,2010-12-06 12:06:00.000000000
98.7,2010-12-06 12:15:00.000000000
673.37,2010-12-06 12:21:00.000000000
419.06,2010-12-06 12:23:00.000000000
116.08,2010-12-06 12:23:00.000000000
133.07,2010-12-06 12:23:00.000000000
184.10000000000002,2010-12-06 12:30:00.000000000
76.32000000000001,2010-12-06 12:31:00.000000000
0.0,2010-12-06 12:34:00.000000000
392.62,2010-12-06 12:34:00.000000000
0.0,2010-12-06 12:35:00.000000000
0.0,2010-12-06 12:36:00.000000000
449.95000000000005,2010-12-06 12:38:00.000000000
308.05,2010-12-06 12:39:00.000000000
25.200000000000003,2010-12-06 12:39:00.000000000
252.8,2010-12-06 12:41:00.000000000
379.7,2010-12-06 12:44:00.000000000
185.97,2010-12-06 12:47:00.000000000
198.35,2010-12-06 12:52:00.000000000
381.64,2010-12-06 12:55:00.000000000
358.82,2010-12-06 12:55:00.000000000
480.68,2010-12-06 12:59:00.000000000
270.52,2010-12-06 13:01:00.000000000
100.80000000000001,2010-12-06 13:12:00.000000000
511.56,2010-12-06 13:13:00.000000000
375.47,2010-12-06 13:13:00.000000000
122.7,2010-12-06 13:21:00.000000000
125.10000000000001,2010-12-06 13:22:00.000000000
222.18,2010-12-06 13:34:00.000000000
391.5,2010-12-06 13:35:00.000000000
149.0,2010-12-06 13:41:00.000000000
123.24,2010-12-06 13:47:00.000000000
554.66,2010-12-06 13:53:00.000000000
166.15,2010-12-06 13:58:00.000000000
2415.04,2010-12-06 13:59:00.000000000
81.17999999999999,2010-12-06 14:00:00.000000000
150.22,2010-12-06 14:05:00.000000000
292.84000000000003,2010-12-06 14:08:00.000000000
244.20000000000002,2010-12-06 14:19:00.000000000
427.74,2010-12-06 14:31:00.000000256
422.81,2010-12-06 14:36:00.000000000
0.0,2010-12-06 14:37:00.000000000
30.45,2010-12-06 14:43:00.000000000
56.85,2010-12-06 14:46:00.000000000
406.69,2010-12-06 14:51:00.000000000
192.7,2010-12-06 14:55:00.000000000
406.16,2010-12-06 15:00:00.000000000
151.20000000000002,2010-12-06 15:03:00.000000000
9.65,2010-12-06 15:06:00.000000000
177.60000000000002,2010-12-06 15:06:00.000000000
227.4,2010-12-06 15:09:00.000000000
137.11,2010-12-06 15:13:00.000000000
510.95,2010-12-06 15:14:00.000000000
335.3,2010-12-06 15:18:00.000000000
292.54,2010-12-06 15:25:00.000000000
217.54999999999998,2010-12-06 15:27:00.000000000
166.0,2010-12-06 15:34:00.000000000
92.55000000000001,2010-12-06 15:35:00.000000000
0.0,2010-12-06 15:35:00.000000000
0.0,2010-12-06 15:36:00.000000000
0.0,2010-12-06 15:37:00.000000000
450.92,2010-12-06 15:38:00.000000000
82.12,2010-12-06 15:54:00.000000000
0.0,2010-12-06 16:05:00.000000000
0.0,2010-12-06 16:10:00.000000000
417.62,2010-12-06 16:36:00.000000000
8223.4,2010-12-06 16:57:00.000000000
221.5,2010-12-06 16:58:00.000000000
0.0,2010-12-06 17:00:00.000000000
0.0,2010-12-06 17:00:00.000000000
0.0,2010-12-06 17:00:00.000000000
0.0,2010-12-06 17:01:00.000000000
214.32,2010-12-06 17:16:00.000000000
540.0,2010-12-06 17:26:00.000000000
5.07,2010-12-06 17:29:00.000000000
569.03,2010-12-07 09:13:00.000000000
151.3,2010-12-07 09:21:00.000000000
39.599999999999994,2010-12-07 09:23:00.000000000
0.0,2010-12-07 09:26:00.000000000
0.0,2010-12-07 09:26:00.000000000
0.0,2010-12-07 09:27:00.000000000
0.0,2010-12-07 09:28:00.000000000
0.0,2010-12-07 09:28:00.000000000
0.0,2010-12-07 09:30:00.000000000
0.0,2010-12-07 09:31:00.000000000
1989.2399999999998,2010-12-07 09:43:00.000000000
1644.94,2010-12-07 09:51:00.000000000
293.45000000000005,2010-12-07 09:55:00.000000000
178.4,2010-12-07 09:57:00.000000000
326.4,2010-12-07 10:04:00.000000000
510.0,2010-12-07 10:06:00.000000000
172.65,2010-12-07 10:06:00.000000000
618.07,2010-12-07 10:14:00.000000000
454.6,2010-12-07 10:32:00.000000000
0.0,2010-12-07 10:33:00.000000000
118.25,2010-12-07 10:36:00.000000000
102.0,2010-12-07 10:43:00.000000000
111.25,2010-12-07 10:47:00.000000000
17.85,2010-12-07 10:51:00.000000000
111.54,2010-12-07 11:11:00.000000000
957.5,2010-12-07 11:26:00.000000000
1830.02,2010-12-07 11:30:00.000000000
511.79999999999995,2010-12-07 11:33:00.000000000
532.8000000000001,2010-12-07 11:41:00.000000000
159.55,2010-12-07 11:45:00.000000000
924.59,2010-12-07 11:48:00.000000000
311.65,2010-12-07 11:49:00.000000000
181.12,2010-12-07 11:59:00.000000256
327.40000000000003,2010-12-07 12:18:00.000000000
571.0,2010-12-07 12:21:00.000000000
118.32,2010-12-07 12:29:00.000000000
319.0,2010-12-07 12:37:00.000000000
19.9,2010-12-07 12:37:00.000000000
108.78,2010-12-07 12:43:00.000000000
373.49,2010-12-07 12:48:59.999999744
1381.92,2010-12-07 13:01:00.000000000
166.74,2010-12-07 13:13:00.000000000
631.65,2010-12-07 13:16:00.000000000
156.19,2010-12-07 13:18:00.000000000
444.42,2010-12-07 13:20:00.000000000
617.12,2010-12-07 13:22:00.000000000
322.3,2010-12-07 13:28:00.000000000
322.8,2010-12-07 13:28:59.999999744
139.0,2010-12-07 13:30:00.000000000
15.9,2010-12-07 13:30:00.000000000
177.26,2010-12-07 13:45:00.000000000
2022.16,2010-12-07 13:50:00.000000000
230.39999999999998,2010-12-07 13:53:00.000000000
97.8,2010-12-07 14:00:00.000000000
19.5,2010-12-07 14:29:00.000000000
165.94,2010-12-07 14:30:00.000000000
383.93,2010-12-07 14:31:00.000000000
306.84000000000003,2010-12-07 14:41:00.000000000
87.5,2010-12-07 14:57:00.000000000
713.88,2010-12-07 14:58:00.000000000
378.75,2010-12-07 15:02:00.000000000
356.87,2010-12-07 15:03:00.000000000
17.4,2010-12-07 15:04:00.000000000
13541.33,2010-12-07 15:08:00.000000000
24.9,2010-12-07 15:14:00.000000000
231.9,2010-12-07 15:15:00.000000000
68.1,2010-12-07 15:18:00.000000000
172.0,2010-12-07 15:20:00.000000000
15.7,2010-12-07 15:22:00.000000000
6293.86,2010-12-07 15:28:00.000000000
0.0,2010-12-07 15:29:00.000000000
11540.34,2010-12-07 15:31:00.000000000
1240.19,2010-12-07 15:32:00.000000000
2164.51,2010-12-07 15:33:00.000000000
2416.59,2010-12-07 15:34:00.000000000
2448.29,2010-12-07 15:34:00.000000000
406.6,2010-12-07 15:39:00.000000000
402.61,2010-12-07 15:48:00.000000000
112.6,2010-12-07 15:48:00.000000000
289.35,2010-12-07 15:48:00.000000000
268.73,2010-12-07 15:54:00.000000000
135.05,2010-12-07 15:59:00.000000000
111.15,2010-12-07 16:20:00.000000000
9639.12,2010-12-07 16:42:00.000000000
395.76,2010-12-07 16:43:00.000000000
15885.49,2010-12-07 16:43:00.000000000
46.8,2010-12-07 17:05:00.000000000
139.86,2010-12-07 17:19:00.000000000
5058.04,2010-12-07 18:36:00.000000000
326.4,2010-12-08 08:12:00.000000000
48.800000000000004,2010-12-08 08:43:00.000000000
164.25,2010-12-08 08:58:00.000000000
514.39,2010-12-08 09:07:00.000000000
328.45,2010-12-08 09:20:00.000000000
328.01,2010-12-08 09:30:00.000000000
319.18,2010-12-08 09:51:00.000000000
